id,part_id,units_per_hour,work_table_id,semi_auto_work_table_id,machine_id,persons_1,persons_2,persons_3,active,is_migrated,description,deleted_at,created_at,updated_at
\N,81,240,\N,\N,\N,\N,2,\N,1,0,"STS H-M-2",\N,"2026-04-09 20:05:00",\N
\N,82,194,\N,\N,\N,1,\N,\N,1,0,"STS H-M-3",\N,"2026-04-09 20:05:00",\N
\N,82,228,\N,\N,\N,\N,2,\N,1,0,"STS H-M-3",\N,"2026-04-09 20:05:00",\N
\N,83,169,\N,\N,\N,1,\N,\N,1,0,"STS H-M-4",\N,"2026-04-09 20:05:00",\N
\N,83,204,\N,\N,\N,\N,2,\N,1,0,"STS H-M-4",\N,"2026-04-09 20:05:00",\N
\N,83,174,\N,\N,\N,\N,\N,3,1,0,"STS H-M-4",\N,"2026-04-09 20:05:00",\N
\N,84,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-M-4-01-WI",\N,"2026-04-09 20:05:00",\N
\N,85,166,\N,\N,\N,1,\N,\N,1,0,"STS H-M-5",\N,"2026-04-09 20:05:00",\N
\N,85,166,\N,\N,\N,\N,2,\N,1,0,"STS H-M-5",\N,"2026-04-09 20:05:00",\N
\N,86,129,\N,\N,\N,\N,\N,3,1,0,"STS H-MB-101N 10""""",\N,"2026-04-09 20:05:00",\N
\N,87,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-MB-106-N",\N,"2026-04-09 20:05:00",\N
\N,88,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-MB-106-T",\N,"2026-04-09 20:05:00",\N
\N,89,147,\N,\N,\N,\N,\N,3,1,0,"STS H-MB-201N 10"""" LEAD",\N,"2026-04-09 20:05:00",\N
\N,90,141,\N,\N,\N,\N,\N,3,1,0,"STS H-MB-201T 10"""" LEAD",\N,"2026-04-09 20:05:00",\N
\N,91,143,\N,\N,\N,\N,\N,3,1,0,"STS H-MB-206N",\N,"2026-04-09 20:05:00",\N
\N,92,143,\N,\N,\N,\N,\N,3,1,0,"STS H-MB-206T",\N,"2026-04-09 20:05:00",\N
\N,93,150,\N,\N,\N,\N,\N,3,1,0,"STS H-MB-301N 10"""" LEAD",\N,"2026-04-09 20:05:00",\N
\N,94,149,\N,\N,\N,\N,\N,3,1,0,"STS H-MB-301T 10"""" LEAD",\N,"2026-04-09 20:05:00",\N
\N,95,130,\N,\N,\N,\N,\N,3,1,0,"STS H-MB-306N",\N,"2026-04-09 20:05:00",\N
\N,96,131,\N,\N,\N,\N,\N,3,1,0,"STS H-MB-306T",\N,"2026-04-09 20:05:00",\N
\N,97,112,\N,\N,\N,\N,\N,3,1,0,"STS H-MB-401N 10""""",\N,"2026-04-09 20:05:00",\N
\N,98,123,\N,\N,\N,\N,\N,3,1,0,"STS H-MB-406N",\N,"2026-04-09 20:05:00",\N
\N,99,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-MB-406T",\N,"2026-04-09 20:05:00",\N
\N,100,118,\N,\N,\N,\N,\N,3,1,0,"STS H-MB-501N 10"""" LEAD",\N,"2026-04-09 20:05:00",\N
\N,101,119,\N,\N,\N,\N,\N,3,1,0,"STS H-MB-506N",\N,"2026-04-09 20:05:00",\N
\N,102,118,\N,\N,\N,\N,\N,3,1,0,"STS H-MB-506T",\N,"2026-04-09 20:05:00",\N
\N,103,114,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-1",\N,"2026-04-09 20:05:00",\N
\N,104,115,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-10",\N,"2026-04-09 20:05:00",\N
\N,105,114,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-10-3",\N,"2026-04-09 20:05:00",\N
\N,106,114,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-10-4",\N,"2026-04-09 20:05:00",\N
\N,107,114,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-10-6",\N,"2026-04-09 20:05:00",\N
\N,108,119,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-10-9",\N,"2026-04-09 20:05:00",\N
\N,109,147,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-11",\N,"2026-04-09 20:05:00",\N
\N,110,164,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-12",\N,"2026-04-09 20:05:00",\N
\N,111,143,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-13",\N,"2026-04-09 20:05:00",\N
\N,112,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-ML-13-01-WI",\N,"2026-04-09 20:05:00",\N
\N,113,155,\N,\N,\N,\N,1,\N,1,0,"STS H-ML-14",\N,"2026-04-09 20:05:00",\N
\N,113,146,\N,\N,\N,\N,\N,2,1,0,"STS H-ML-14",\N,"2026-04-09 20:05:00",\N
\N,114,104,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-15",\N,"2026-04-09 20:05:00",\N
\N,115,138,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-16",\N,"2026-04-09 20:05:00",\N
\N,116,177,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-17",\N,"2026-04-09 20:05:00",\N
\N,117,128,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-18",\N,"2026-04-09 20:05:00",\N
\N,118,134,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-19",\N,"2026-04-09 20:05:00",\N
\N,119,155,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-2",\N,"2026-04-09 20:05:00",\N
\N,120,138,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-20",\N,"2026-04-09 20:05:00",\N
\N,121,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-ML-2-94",\N,"2026-04-09 20:05:00",\N
\N,122,131,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-3",\N,"2026-04-09 20:05:00",\N
\N,123,136,\N,\N,\N,\N,\N,3,1,0,"STS H-ML-3-0",\N,"2026-04-09 20:05:00",\N
\N,124,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-ML-3-9",\N,"2026-04-09 20:05:00",\N
