id,standard_id,workstation_type,workstation_id,persons_required,units_per_hour,is_default,notes,created_at,updated_at
\N,237,"manual",\N,2,329,1,\N,"2026-04-09 20:05:00",\N
\N,239,"manual",\N,3,69,1,\N,"2026-04-09 20:05:00",\N
\N,250,"manual",\N,3,112,1,\N,"2026-04-09 20:05:00",\N
\N,251,"manual",\N,3,135,1,\N,"2026-04-09 20:05:00",\N
\N,252,"manual",\N,3,134,1,\N,"2026-04-09 20:05:00",\N
\N,264,"manual",\N,3,101,1,\N,"2026-04-09 20:05:00",\N
\N,266,"manual",\N,2,151,1,\N,"2026-04-09 20:05:00",\N
\N,267,"manual",\N,2,96,1,\N,"2026-04-09 20:05:00",\N
\N,273,"manual",\N,3,84,1,\N,"2026-04-09 20:05:00",\N
\N,279,"manual",\N,3,99,1,\N,"2026-04-09 20:05:00",\N
\N,282,"manual",\N,2,117,1,\N,"2026-04-09 20:05:00",\N
\N,300,"manual",\N,1,236,1,\N,"2026-04-09 20:05:00",\N
\N,300,"manual",\N,2,224,0,\N,"2026-04-09 20:05:00",\N
\N,301,"manual",\N,1,220,1,\N,"2026-04-09 20:05:00",\N
\N,301,"manual",\N,2,224,0,\N,"2026-04-09 20:05:00",\N
\N,302,"manual",\N,1,189,1,\N,"2026-04-09 20:05:00",\N
\N,302,"manual",\N,2,189,0,\N,"2026-04-09 20:05:00",\N
\N,307,"manual",\N,3,118,1,\N,"2026-04-09 20:05:00",\N
\N,319,"manual",\N,3,128,1,\N,"2026-04-09 20:05:00",\N
\N,322,"manual",\N,3,115,1,\N,"2026-04-09 20:05:00",\N
\N,323,"manual",\N,3,154,1,\N,"2026-04-09 20:05:00",\N
\N,328,"manual",\N,3,136,1,\N,"2026-04-09 20:05:00",\N
\N,331,"manual",\N,3,131,1,\N,"2026-04-09 20:05:00",\N
\N,333,"manual",\N,2,136,1,\N,"2026-04-09 20:05:00",\N
\N,334,"manual",\N,2,184,1,\N,"2026-04-09 20:05:00",\N
\N,335,"manual",\N,2,144,1,\N,"2026-04-09 20:05:00",\N
\N,337,"manual",\N,2,144,1,\N,"2026-04-09 20:05:00",\N
\N,338,"manual",\N,2,230,1,\N,"2026-04-09 20:05:00",\N
\N,344,"manual",\N,2,200,1,\N,"2026-04-09 20:05:00",\N
\N,345,"manual",\N,2,161,1,\N,"2026-04-09 20:05:00",\N
\N,346,"manual",\N,2,154,1,\N,"2026-04-09 20:05:00",\N
\N,347,"manual",\N,2,171,1,\N,"2026-04-09 20:05:00",\N
\N,350,"manual",\N,3,81,1,\N,"2026-04-09 20:05:00",\N
\N,351,"manual",\N,3,105,1,\N,"2026-04-09 20:05:00",\N
\N,352,"manual",\N,3,121,1,\N,"2026-04-09 20:05:00",\N
\N,353,"manual",\N,3,124,1,\N,"2026-04-09 20:05:00",\N
\N,354,"manual",\N,3,93,1,\N,"2026-04-09 20:05:00",\N
\N,355,"manual",\N,3,112,1,\N,"2026-04-09 20:05:00",\N
\N,358,"manual",\N,3,104,1,\N,"2026-04-09 20:05:00",\N
\N,367,"manual",\N,3,110,1,\N,"2026-04-09 20:05:00",\N
\N,369,"manual",\N,3,116,1,\N,"2026-04-09 20:05:00",\N
\N,370,"manual",\N,3,113,1,\N,"2026-04-09 20:05:00",\N
\N,377,"manual",\N,3,135,1,\N,"2026-04-09 20:05:00",\N
\N,378,"manual",\N,3,143,1,\N,"2026-04-09 20:05:00",\N
\N,379,"manual",\N,2,195,1,\N,"2026-04-09 20:05:00",\N
\N,379,"manual",\N,3,131,0,\N,"2026-04-09 20:05:00",\N
\N,382,"manual",\N,2,125,1,\N,"2026-04-09 20:05:00",\N
\N,382,"manual",\N,3,130,0,\N,"2026-04-09 20:05:00",\N
\N,383,"manual",\N,2,245,1,\N,"2026-04-09 20:05:00",\N
\N,384,"manual",\N,3,133,1,\N,"2026-04-09 20:05:00",\N
\N,386,"manual",\N,3,127,1,\N,"2026-04-09 20:05:00",\N
\N,390,"manual",\N,3,161,1,\N,"2026-04-09 20:05:00",\N
\N,391,"manual",\N,3,135,1,\N,"2026-04-09 20:05:00",\N
\N,394,"manual",\N,3,119,1,\N,"2026-04-09 20:05:00",\N
\N,400,"manual",\N,3,131,1,\N,"2026-04-09 20:05:00",\N
\N,401,"manual",\N,3,115,1,\N,"2026-04-09 20:05:00",\N
\N,407,"manual",\N,3,119,1,\N,"2026-04-09 20:05:00",\N
\N,408,"manual",\N,3,119,1,\N,"2026-04-09 20:05:00",\N
\N,409,"manual",\N,3,156,1,\N,"2026-04-09 20:05:00",\N
\N,410,"manual",\N,3,122,1,\N,"2026-04-09 20:05:00",\N
\N,411,"manual",\N,3,118,1,\N,"2026-04-09 20:05:00",\N
\N,412,"manual",\N,3,108,1,\N,"2026-04-09 20:05:00",\N
