id,part_id,sample_price,workstation_type,effective_date,active,comments,created_at,updated_at
,156,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,157,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,158,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,159,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,160,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,160,0.5,semi_automatic,2026-04-01,1,,"2026-04-09 20:05:00",
,161,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,162,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,163,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,164,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,164,0.5,machine,2026-04-01,1,,"2026-04-09 20:05:00",
,165,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,166,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,167,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,168,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,169,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,170,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,170,0.5,machine,2026-04-01,1,,"2026-04-09 20:05:00",
,171,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,172,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,173,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,173,0.5,semi_automatic,2026-04-01,1,,"2026-04-09 20:05:00",
,174,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,175,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,175,0.5,semi_automatic,2026-04-01,1,,"2026-04-09 20:05:00",
,176,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,177,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,178,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,179,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,180,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,181,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,182,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,183,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,184,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,185,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,186,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,187,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,188,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,189,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,190,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,191,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,192,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,193,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,194,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,195,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,196,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,197,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,198,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,199,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,200,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,201,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,202,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,203,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,204,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,205,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,206,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,207,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,208,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,209,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,210,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,211,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,212,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,213,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,214,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,215,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,216,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,217,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,217,0.5,semi_automatic,2026-04-01,1,,"2026-04-09 20:05:00",
,218,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,219,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,220,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,221,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,222,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,223,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,224,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,225,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,226,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
