id,part_id,units_per_hour,work_table_id,semi_auto_work_table_id,machine_id,persons_1,persons_2,persons_3,active,is_migrated,description,deleted_at,created_at,updated_at
,142,0,,,,,,,1,0,"STS H-ML-7-95",,"2026-04-09 20:05:00",
,143,161,,,,,,3,1,0,"STS H-ML-7-97",,"2026-04-09 20:05:00",
,144,0,,,,,,,1,0,"STS H-ML-7-98",,"2026-04-09 20:05:00",
,145,135,,,,,,3,1,0,"STS H-ML-8",,"2026-04-09 20:05:00",
,146,143,,,,,2,,1,0,"STS H-ML-8-3",,"2026-04-09 20:05:00",
,146,135,,,,,,3,1,0,"STS H-ML-8-3",,"2026-04-09 20:05:00",
,147,134,,,,,,3,1,0,"STS H-ML-8-4",,"2026-04-09 20:05:00",
,148,135,,,,,,3,1,0,"STS H-ML-8-5",,"2026-04-09 20:05:00",
,149,134,,,,,,3,1,0,"STS H-ML-8-6",,"2026-04-09 20:05:00",
,150,135,,,,,,3,1,0,"STS H-ML-8-9",,"2026-04-09 20:05:00",
,151,0,,,,,,,1,0,"STS H-ML-8-91",,"2026-04-09 20:05:00",
,152,0,,,,,,,1,0,"STS H-ML-8-92",,"2026-04-09 20:05:00",
,153,135,,,,,,3,1,0,"STS H-ML-8-93",,"2026-04-09 20:05:00",
,154,155,,,,,,3,1,0,"STS H-ML-8-94",,"2026-04-09 20:05:00",
,155,134,,,,,,3,1,0,"STS H-ML-8-95",,"2026-04-09 20:05:00",
,156,0,,,,,,,1,0,"STS H-ML-8-98",,"2026-04-09 20:05:00",
,157,139,,,,,2,,1,0,"STS H-ML-9",,"2026-04-09 20:05:00",
,157,105,,,,,,3,1,0,"STS H-ML-9",,"2026-04-09 20:05:00",
,158,105,,,,,,3,1,0,"STS H-ML-9-5",,"2026-04-09 20:05:00",
,159,105,,,,,,3,1,0,"STS H-ML-9-94",,"2026-04-09 20:05:00",
,160,300,,,,1,,,1,0,"STS L-C-1",,"2026-04-09 20:05:00",
,160,204,,,,,2,,1,0,"STS L-C-1",,"2026-04-09 20:05:00",
,161,0,,,,,,,1,0,"STS L-C-1-10",,"2026-04-09 20:05:00",
,162,195,,,,1,,,1,0,"STS L-C-112-01",,"2026-04-09 20:05:00",
,163,0,,,,,,,1,0,"STS L-C-1-2",,"2026-04-09 20:05:00",
,164,173,,,,1,,,1,0,"STS L-C-2",,"2026-04-09 20:05:00",
,164,208,,,,,2,,1,0,"STS L-C-2",,"2026-04-09 20:05:00",
,165,251,,,,,2,,1,0,"STS L-C-2-1",,"2026-04-09 20:05:00",
,166,0,,,,,,,1,0,"STS L-C-2-10",,"2026-04-09 20:05:00",
,167,0,,,,,,,1,0,"STS L-C-2-2",,"2026-04-09 20:05:00",
,168,0,,,,,,,1,0,"STS L-C-249-6",,"2026-04-09 20:05:00",
,169,0,,,,,,,1,0,"STS L-C-249-8",,"2026-04-09 20:05:00",
,170,194,,,,1,,,1,0,"STS L-C-3",,"2026-04-09 20:05:00",
,170,228,,,,,2,,1,0,"STS L-C-3",,"2026-04-09 20:05:00",
,171,0,,,,,,,1,0,"STS L-C-3-10",,"2026-04-09 20:05:00",
,172,0,,,,,,,1,0,"STS L-C-3-2",,"2026-04-09 20:05:00",
,173,229,,,,1,,,1,0,"STS L-C-4",,"2026-04-09 20:05:00",
,173,219,,,,,2,,1,0,"STS L-C-4",,"2026-04-09 20:05:00",
,174,0,,,,,,,1,0,"STS L-C-4-10",,"2026-04-09 20:05:00",
,175,375,,,,1,,,1,0,"STS L-C-5",,"2026-04-09 20:05:00",
,175,204,,,,,2,,1,0,"STS L-C-5",,"2026-04-09 20:05:00",
,175,179,,,,,,3,1,0,"STS L-C-5",,"2026-04-09 20:05:00",
,176,0,,,,,,,1,0,"STS L-C-5.5-10",,"2026-04-09 20:05:00",
,177,0,,,,,,,1,0,"STS L-C-5.5-2",,"2026-04-09 20:05:00",
,178,0,,,,,,,1,0,"STS L-C-5-10",,"2026-04-09 20:05:00",
,179,150,,,,,2,,1,0,"STS L-C-6",,"2026-04-09 20:05:00",
,180,0,,,,,,,1,0,"STS L-C-6-10",,"2026-04-09 20:05:00",
,181,116,,,,,2,,1,0,"STS L-C-7",,"2026-04-09 20:05:00",
,182,0,,,,,,,1,0,"STS L-C-7-10",,"2026-04-09 20:05:00",
,183,0,,,,,,,1,0,"STS L-CL-2-04",,"2026-04-09 20:05:00",
,184,0,,,,,,,1,0,"STS L-CL-249-8B",,"2026-04-09 20:05:00",
,185,112,,,,,,3,1,0,"STS L-CL-4",,"2026-04-09 20:05:00",
,186,0,,,,,,,1,0,"STS L-CL-5",,"2026-04-09 20:05:00",
,187,0,,,,,,,1,0,"STS L-CL-7",,"2026-04-09 20:05:00",
,188,121,,,,,,3,1,0,"STS L-CL-8",,"2026-04-09 20:05:00",
,189,0,,,,,,,1,0,"STS L-CL-8-5",,"2026-04-09 20:05:00",
,190,0,,,,,,,1,0,"STS H-CK-04",,"2026-04-09 20:05:00",
,191,0,,,,,,,1,0,"STS L-CL-181-1224-90/9",,"2026-04-09 20:05:00",
,192,0,,,,,,,1,0,"STS H-ML-7-41",,"2026-04-09 20:05:00",
,193,0,,,,,,,1,0,"STS H-ML-7-42",,"2026-04-09 20:05:00",
,194,0,,,,,,,1,0,"STS H-ML-7-43",,"2026-04-09 20:05:00",
,195,0,,,,,,,1,0,"STS H-I-2-04",,"2026-04-09 20:05:00",
,196,0,,,,,,,1,0,"STS H-ML-4-5",,"2026-04-09 20:05:00",
,197,105,,,,,,3,1,0,"STS H-ML-10-5",,"2026-04-09 20:05:00",
,198,0,,,,,,,1,0,"STS L-CL-4-5",,"2026-04-09 20:05:00",
,199,0,,,,,,,1,0,"STS L-CL-10-5",,"2026-04-09 20:05:00",
,200,0,,,,,,,1,0,"STS L-CL-13-5",,"2026-04-09 20:05:00",
,201,0,,,,,,,1,0,"STS L-CL-14-5",,"2026-04-09 20:05:00",
,202,0,,,,,,,1,0,"STS L-CL-15-5",,"2026-04-09 20:05:00",
,203,0,,,,,,,1,0,"STS L-CL-17-5",,"2026-04-09 20:05:00",
,204,0,,,,,,,1,0,"STS H-CK-03-4",,"2026-04-09 20:05:00",
,205,0,,,,,,,1,0,"STS H-HCL-8",,"2026-04-09 20:05:00",
,206,81,,,,,,3,1,0,"STS L-CL-6-5-01",,"2026-04-09 20:05:00",
,207,0,,,,,,,1,0,"STS H-MB-106-S",,"2026-04-09 20:05:00",
,208,0,,,,,,,1,0,"STS H-MB-206-S",,"2026-04-09 20:05:00",
,209,0,,,,,,,1,0,"STS H-MB-306-S",,"2026-04-09 20:05:00",
,210,0,,,,,,,1,0,"STS H-CL-181-2226-90/9",,"2026-04-09 20:05:00",
,211,129,,,,,,3,1,0,"STS H-MB-101T 10"""" LEAD",,"2026-04-09 20:05:00",
,212,0,,,,,,,1,0,"STS L-C-5.5",,"2026-04-09 20:05:00",
,213,0,,,,,,,1,0,"STS H-CL-181-1220-90/9",,"2026-04-09 20:05:00",
,214,324,,,,,2,,1,0,"STS H-C-11",,"2026-04-09 20:05:00",
,215,0,,,,,,,1,0,"STS H-C-2-01",,"2026-04-09 20:05:00",
,216,0,,,,,,,1,0,"STS H-C-129-05",,"2026-04-09 20:05:00",
,217,329,,,,,2,,1,0,"STS H-C-22",,"2026-04-09 20:05:00",
,218,0,,,,,,,1,0,"STS H-C-05",,"2026-04-09 20:05:00",
,219,69,,,,,,3,1,0,"STS H-CB-612T",,"2026-04-09 20:05:00",
