id,part_id,work_table_id,semi_auto_work_table_id,machine_id,units_per_hour,persons_1,persons_2,persons_3,active,is_migrated,description,deleted_at,created_at,updated_at
174,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ML-7-93,NULL,"2026-04-09 20:05:00",NULL
175,NULL,NULL,NULL,144,NULL,NULL,NULL,3,1,0,STS H-ML-7-94,NULL,"2026-04-09 20:05:00",NULL
176,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ML-7-95,NULL,"2026-04-09 20:05:00",NULL
177,NULL,NULL,NULL,161,NULL,NULL,NULL,3,1,0,STS H-ML-7-97,NULL,"2026-04-09 20:05:00",NULL
178,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ML-7-98,NULL,"2026-04-09 20:05:00",NULL
179,NULL,NULL,NULL,135,NULL,NULL,NULL,3,1,0,STS H-ML-8,NULL,"2026-04-09 20:05:00",NULL
180,NULL,NULL,NULL,143,NULL,NULL,2,NULL,1,0,STS H-ML-8-3,NULL,"2026-04-09 20:05:00",NULL
181,NULL,NULL,NULL,135,NULL,NULL,NULL,3,1,0,STS H-ML-8-3,NULL,"2026-04-09 20:05:00",NULL
182,NULL,NULL,NULL,134,NULL,NULL,NULL,3,1,0,STS H-ML-8-4,NULL,"2026-04-09 20:05:00",NULL
183,NULL,NULL,NULL,135,NULL,NULL,NULL,3,1,0,STS H-ML-8-5,NULL,"2026-04-09 20:05:00",NULL
184,NULL,NULL,NULL,134,NULL,NULL,NULL,3,1,0,STS H-ML-8-6,NULL,"2026-04-09 20:05:00",NULL
185,NULL,NULL,NULL,135,NULL,NULL,NULL,3,1,0,STS H-ML-8-9,NULL,"2026-04-09 20:05:00",NULL
186,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ML-8-91,NULL,"2026-04-09 20:05:00",NULL
187,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ML-8-92,NULL,"2026-04-09 20:05:00",NULL
188,NULL,NULL,NULL,135,NULL,NULL,NULL,3,1,0,STS H-ML-8-93,NULL,"2026-04-09 20:05:00",NULL
189,NULL,NULL,NULL,155,NULL,NULL,NULL,3,1,0,STS H-ML-8-94,NULL,"2026-04-09 20:05:00",NULL
190,NULL,NULL,NULL,134,NULL,NULL,NULL,3,1,0,STS H-ML-8-95,NULL,"2026-04-09 20:05:00",NULL
191,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ML-8-98,NULL,"2026-04-09 20:05:00",NULL
192,NULL,NULL,NULL,139,NULL,NULL,2,NULL,1,0,STS H-ML-9,NULL,"2026-04-09 20:05:00",NULL
193,NULL,NULL,NULL,105,NULL,NULL,NULL,3,1,0,STS H-ML-9,NULL,"2026-04-09 20:05:00",NULL
194,NULL,NULL,NULL,105,NULL,NULL,NULL,3,1,0,STS H-ML-9-5,NULL,"2026-04-09 20:05:00",NULL
195,NULL,NULL,NULL,105,NULL,NULL,NULL,3,1,0,STS H-ML-9-94,NULL,"2026-04-09 20:05:00",NULL
196,NULL,NULL,NULL,300,NULL,1,NULL,NULL,1,0,STS L-C-1,NULL,"2026-04-09 20:05:00",NULL
197,NULL,NULL,NULL,204,NULL,NULL,2,NULL,1,0,STS L-C-1,NULL,"2026-04-09 20:05:00",NULL
198,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-C-1-10,NULL,"2026-04-09 20:05:00",NULL
199,NULL,NULL,NULL,195,NULL,1,NULL,NULL,1,0,STS L-C-112-01,NULL,"2026-04-09 20:05:00",NULL
200,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-C-1-2,NULL,"2026-04-09 20:05:00",NULL
201,NULL,NULL,NULL,173,NULL,1,NULL,NULL,1,0,STS L-C-2,NULL,"2026-04-09 20:05:00",NULL
202,NULL,NULL,NULL,208,NULL,NULL,2,NULL,1,0,STS L-C-2,NULL,"2026-04-09 20:05:00",NULL
203,NULL,NULL,NULL,251,NULL,NULL,2,NULL,1,0,STS L-C-2-1,NULL,"2026-04-09 20:05:00",NULL
204,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-C-2-10,NULL,"2026-04-09 20:05:00",NULL
205,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-C-2-2,NULL,"2026-04-09 20:05:00",NULL
206,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-C-249-6,NULL,"2026-04-09 20:05:00",NULL
207,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-C-249-8,NULL,"2026-04-09 20:05:00",NULL
208,NULL,NULL,NULL,194,NULL,1,NULL,NULL,1,0,STS L-C-3,NULL,"2026-04-09 20:05:00",NULL
209,NULL,NULL,NULL,228,NULL,NULL,2,NULL,1,0,STS L-C-3,NULL,"2026-04-09 20:05:00",NULL
210,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-C-3-10,NULL,"2026-04-09 20:05:00",NULL
211,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-C-3-2,NULL,"2026-04-09 20:05:00",NULL
212,NULL,NULL,NULL,229,NULL,1,NULL,NULL,1,0,STS L-C-4,NULL,"2026-04-09 20:05:00",NULL
