part_id,Temporal,Temporal 2,work_table_id,semi_auto_work_table_id,machine_id,units_per_hour,persons_1,persons_2,persons_3,active,is_migrated,description
OBLIGATORIO - ID de la parte en tabla parts,Descripcion,Descripcion sin STS,OPCIONAL - ID de mesa manual en tabla tables (dejar vacio si no aplica) - Solo uno de los tres IDs debe estar poblado,OPCIONAL - ID de mesa semi-automatica en tabla semi__automatics (nota: doble guion bajo en nombre de tabla) (dejar vacio si no aplica),OPCIONAL - ID de maquina en tabla machines (dejar vacio si no aplica),OBLIGATORIO - Entero >= 1 - Unidades producidas por hora,OPCIONAL - Numero de personas en configuracion 1 (ej: 1),OPCIONAL - Numero de personas en configuracion 2 (ej: 2) - dejar vacio si no aplica,OPCIONAL - Numero de personas en configuracion 3 (ej: 3) - dejar vacio si no aplica,OPCIONAL - 1=activo 0=inactivo - Default: 1,OPCIONAL - 0=importacion masiva legacy 1=usa standard_configurations - Default: 0 para importacion masiva,OPCIONAL - Descripcion o referencia del standard
189-10436,STS H-MB-401T,H-MB-401T,,,,112,,,3,1,0,
189-10437,STS H-ML-7-90-02,H-ML-7-90-02,,,,135,,,3,1,0,
189-10438,STS H-ML-7-93-02,H-ML-7-93-02,,,,134,,,3,1,0,
189-10439,STS H-ML-7-3-02,H-ML-7-3-02,,,,Pend,,,,1,0,
189-10440,STS H-ML-7-4-02,H-ML-7-4-02,,,,Pend,,,,1,0,
189-10441,STS H-ML-7-5-02,H-ML-7-5-02,,,,Pend,,,,1,0,
189-10442,STS H-ML-7-6-02,H-ML-7-6-02,,,,Pend,,,,1,0,
189-10443,STS H-ML-7-9-02,H-ML-7-9-02,,,,Pend,,,,1,0,
189-10444,STS H-ML-7-92-02,H-ML-7-92-02,,,,Pend,,,,1,0,
189-10445,STS H-ML-8-3-02,H-ML-8-3-02,,,,Pend,,,,1,0,
189-10446,STS H-ML-8-4-02,H-ML-8-4-02,,,,Pend,,,,1,0,
189-10447,STS H-ML-8-5-02,H-ML-8-5-02,,,,Pend,,,,1,0,
189-10448,STS H-ML-8-6-02,H-ML-8-6-02,,,,Pend,,,,1,0,
189-10449,STS H-ML-8-9-02,H-ML-8-9-02,,,,Pend,,,,1,0,
189-10450,STS H-ML-8-90-02,H-ML-8-90-02,,,,101,,,3,1,0,
189-10451,STS TH-C-1-85,TH-C-1-85,,,,Pend,,,,1,0,
189-10452,STS TH-C-2-85,TH-C-2-85,,,,151,,2,,1,0,
189-10453,STS TH-C-3-85,TH-C-3-85,,,,96,,2,,1,0,
189-10454,STS TH-C-4-85,TH-C-4-85,,,,Pend,,,,1,0,
189-10455,STS TH-C-5-85,TH-C-5-85,,,,Pend,,,,1,0,
189-10456,STS TH-CL-6-85,TH-CL-6-85,,,,Pend,,,,1,0,
189-10457,STS TH-CL-7-85,TH-CL-7-85,,,,Pend,,,,1,0,
189-10458,STS TH-CL-8-85,TH-CL-8-85,,,,Pend,,,,1,0,
189-10459,STS TH-CL-9-85,TH-CL-9-85,,,,84,,,3,1,0,
189-10460,STS TH-CL-10-85,TH-CL-10-85,,,,Pend,,,,1,0,
189-10461,STS TH-CB-306N-85,TH-CB-306N-85,,,,Pend,,,,1,0,
189-10462,STS TH-CB-406N-85,TH-CB-406N-85,,,,Pend,,,,1,0,
189-10463,STS TH-CB-506N-85,TH-CB-506N-85,,,,Pend,,,,1,0,
189-10464,STS TH-CB-106N-85,TH-CB-106N-85,,,,Pend,,,,1,0,
189-10465,STS TH-CB-206N-85,TH-CB-206N-85,,,,99,,,3,1,0,
189-10466,STS TH-CR-436-41,TH-CR-436-41,,,,Pend,,,,1,0,
189-10467,STS TH-CR-436-42,TH-CR-436-42,,,,Pend,,,,1,0,
189-10468,STS TH-CR-436-43,TH-CR-436-43,,,,117,,2,,1,0,
189-10469,STS TH-CR-436-58,TH-CR-436-58,,,,Pend,,,,1,0,
189-10470,STS TH-CR-150-0168A,TH-CR-150-0168A,,,,Pend,,,,1,0,
189-10471,STS TH-CR-150-0169A,TH-CR-150-0169A,,,,Pend,,,,1,0,
189-10472,STS TH-CR-150-0170A,TH-CR-150-0170A,,,,Pend,,,,1,0,
