"id","standard_id","workstation_type","workstation_id","persons_required","units_per_hour","is_default","notes","created_at","updated_at"
"","150","machine",NULL,"1","2300","1","","2026-04-09 20:05:00",""
"","151","manual",NULL,"1","229","1","","2026-04-09 20:05:00",""
"","151","manual",NULL,"2","219","0","","2026-04-09 20:05:00",""
"","152","manual",NULL,"1","375","1","","2026-04-09 20:05:00",""
"","152","manual",NULL,"2","204","0","","2026-04-09 20:05:00",""
"","152","manual",NULL,"3","179","0","","2026-04-09 20:05:00",""
"","153","manual",NULL,"2","150","1","","2026-04-09 20:05:00",""
"","154","manual",NULL,"2","116","1","","2026-04-09 20:05:00",""
"","155","manual",NULL,"3","112","1","","2026-04-09 20:05:00",""
"","156","manual",NULL,"3","81","1","","2026-04-09 20:05:00",""
"","157","manual",NULL,"3","112","1","","2026-04-09 20:05:00",""
"","158","manual",NULL,"3","81","1","","2026-04-09 20:05:00",""
"","159","manual",NULL,"3","121","1","","2026-04-09 20:05:00",""
"","160","manual",NULL,"2","151","1","","2026-04-09 20:05:00",""
"","161","manual",NULL,"2","96","1","","2026-04-09 20:05:00",""
"","162","manual",NULL,"3","99","1","","2026-04-09 20:05:00",""
"","163","manual",NULL,"3","84","1","","2026-04-09 20:05:00",""
"","164","manual",NULL,"2","117","1","","2026-04-09 20:05:00",""
"","165","manual",NULL,"2","76","1","","2026-04-09 20:05:00",""
"","166","manual",NULL,"2","43","1","","2026-04-09 20:05:00",""
"","167","manual",NULL,"1","375","1","","2026-04-09 20:05:00",""
"","167","manual",NULL,"2","204","0","","2026-04-09 20:05:00",""
"","167","manual",NULL,"3","179","0","","2026-04-09 20:05:00",""
