"id","standard_id","workstation_type","workstation_id","persons_required","units_per_hour","is_default","notes","created_at","updated_at"
NULL,111,"manual",NULL,3,143,0,NULL,"2026-04-09 20:05:00",NULL
NULL,112,"manual",NULL,2,155,1,NULL,"2026-04-09 20:05:00",NULL
NULL,112,"manual",NULL,3,146,0,NULL,"2026-04-09 20:05:00",NULL
NULL,113,"manual",NULL,3,104,1,NULL,"2026-04-09 20:05:00",NULL
NULL,114,"manual",NULL,3,138,1,NULL,"2026-04-09 20:05:00",NULL
NULL,115,"manual",NULL,3,177,1,NULL,"2026-04-09 20:05:00",NULL
NULL,116,"manual",NULL,3,161,1,NULL,"2026-04-09 20:05:00",NULL
NULL,117,"manual",NULL,1,781,1,NULL,"2026-04-09 20:05:00",NULL
NULL,117,"manual",NULL,3,143,0,NULL,"2026-04-09 20:05:00",NULL
NULL,118,"manual",NULL,3,134,1,NULL,"2026-04-09 20:05:00",NULL
NULL,119,"manual",NULL,3,155,1,NULL,"2026-04-09 20:05:00",NULL
NULL,120,"manual",NULL,3,138,1,NULL,"2026-04-09 20:05:00",NULL
NULL,121,"manual",NULL,3,131,1,NULL,"2026-04-09 20:05:00",NULL
NULL,122,"machine",NULL,1,781,1,NULL,"2026-04-09 20:05:00",NULL
NULL,122,"machine",NULL,2,722,0,NULL,"2026-04-09 20:05:00",NULL
NULL,123,"manual",NULL,3,136,1,NULL,"2026-04-09 20:05:00",NULL
NULL,124,"manual",NULL,3,136,1,NULL,"2026-04-09 20:05:00",NULL
NULL,125,"manual",NULL,3,129,1,NULL,"2026-04-09 20:05:00",NULL
NULL,126,"manual",NULL,3,101,1,NULL,"2026-04-09 20:05:00",NULL
NULL,127,"manual",NULL,3,139,1,NULL,"2026-04-09 20:05:00",NULL
NULL,128,"manual",NULL,1,550,1,NULL,"2026-04-09 20:05:00",NULL
NULL,128,"manual",NULL,2,300,0,NULL,"2026-04-09 20:05:00",NULL
NULL,128,"manual",NULL,3,161,0,NULL,"2026-04-09 20:05:00",NULL
NULL,129,"manual",NULL,1,600,1,NULL,"2026-04-09 20:05:00",NULL
NULL,129,"manual",NULL,3,161,0,NULL,"2026-04-09 20:05:00",NULL
NULL,130,"manual",NULL,3,161,1,NULL,"2026-04-09 20:05:00",NULL
NULL,131,"manual",NULL,3,144,1,NULL,"2026-04-09 20:05:00",NULL
NULL,132,"manual",NULL,3,144,1,NULL,"2026-04-09 20:05:00",NULL
NULL,133,"manual",NULL,3,161,1,NULL,"2026-04-09 20:05:00",NULL
NULL,134,"manual",NULL,1,600,1,NULL,"2026-04-09 20:05:00",NULL
NULL,134,"manual",NULL,3,135,0,NULL,"2026-04-09 20:05:00",NULL
NULL,135,"manual",NULL,2,143,1,NULL,"2026-04-09 20:05:00",NULL
NULL,135,"manual",NULL,3,135,0,NULL,"2026-04-09 20:05:00",NULL
NULL,136,"manual",NULL,3,135,1,NULL,"2026-04-09 20:05:00",NULL
NULL,137,"manual",NULL,3,146,1,NULL,"2026-04-09 20:05:00",NULL
NULL,138,"manual",NULL,3,135,1,NULL,"2026-04-09 20:05:00",NULL
NULL,139,"manual",NULL,3,155,1,NULL,"2026-04-09 20:05:00",NULL
NULL,140,"manual",NULL,3,155,1,NULL,"2026-04-09 20:05:00",NULL
NULL,141,"manual",NULL,3,155,1,NULL,"2026-04-09 20:05:00",NULL
NULL,142,"manual",NULL,2,139,1,NULL,"2026-04-09 20:05:00",NULL
NULL,142,"manual",NULL,3,105,0,NULL,"2026-04-09 20:05:00",NULL
NULL,143,"manual",NULL,3,105,1,NULL,"2026-04-09 20:05:00",NULL
NULL,144,"manual",NULL,1,300,1,NULL,"2026-04-09 20:05:00",NULL
NULL,144,"manual",NULL,2,204,0,NULL,"2026-04-09 20:05:00",NULL
NULL,145,"manual",NULL,1,195,1,NULL,"2026-04-09 20:05:00",NULL
NULL,146,"manual",NULL,2,251,1,NULL,"2026-04-09 20:05:00",NULL
NULL,147,"manual",NULL,1,173,1,NULL,"2026-04-09 20:05:00",NULL
NULL,147,"manual",NULL,2,208,0,NULL,"2026-04-09 20:05:00",NULL
NULL,147,"manual",NULL,3,164,0,NULL,"2026-04-09 20:05:00",NULL
NULL,148,"machine",NULL,1,1100,1,NULL,"2026-04-09 20:05:00",NULL
NULL,149,"manual",NULL,2,228,1,NULL,"2026-04-09 20:05:00",NULL
NULL,150,"machine",NULL,1,2300,1,NULL,"2026-04-09 20:05:00",NULL
NULL,151,"manual",NULL,1,229,1,NULL,"2026-04-09 20:05:00",NULL
NULL,151,"manual",NULL,2,219,0,NULL,"2026-04-09 20:05:00",NULL
NULL,152,"manual",NULL,1,375,1,NULL,"2026-04-09 20:05:00",NULL
NULL,152,"manual",NULL,2,204,0,NULL,"2026-04-09 20:05:00",NULL
NULL,152,"manual",NULL,3,179,0,NULL,"2026-04-09 20:05:00",NULL
NULL,153,"manual",NULL,2,150,1,NULL,"2026-04-09 20:05:00",NULL
NULL,154,"manual",NULL,2,116,1,NULL,"2026-04-09 20:05:00",NULL
NULL,155,"manual",NULL,3,112,1,NULL,"2026-04-09 20:05:00",NULL
NULL,156,"manual",NULL,3,81,1,NULL,"2026-04-09 20:05:00",NULL
NULL,157,"manual",NULL,3,112,1,NULL,"2026-04-09 20:05:00",NULL
NULL,158,"manual",NULL,3,81,1,NULL,"2026-04-09 20:05:00",NULL
NULL,159,"manual",NULL,3,121,1,NULL,"2026-04-09 20:05:00",NULL
NULL,160,"manual",NULL,2,151,1,NULL,"2026-04-09 20:05:00",NULL
NULL,161,"manual",NULL,2,96,1,NULL,"2026-04-09 20:05:00",NULL
NULL,162,"manual",NULL,3,99,1,NULL,"2026-04-09 20:05:00",NULL
NULL,163,"manual",NULL,3,84,1,NULL,"2026-04-09 20:05:00",NULL
NULL,164,"manual",NULL,2,117,1,NULL,"2026-04-09 20:05:00",NULL
NULL,165,"manual",NULL,2,76,1,NULL,"2026-04-09 20:05:00",NULL
NULL,166,"manual",NULL,2,43,1,NULL,"2026-04-09 20:05:00",NULL
NULL,167,"manual",NULL,1,375,1,NULL,"2026-04-09 20:05:00",NULL
NULL,167,"manual",NULL,2,204,0,NULL,"2026-04-09 20:05:00",NULL
NULL,167,"manual",NULL,3,179,0,NULL,"2026-04-09 20:05:00",NULL
